Brand,Product,Price,Image_Link,Product_Link
Ariana GrandeÂ,Cloud 2.0 Intense Eau de Parfum,$72.00,,https://www.ulta.com/p/cloud-20-intense-eau-de-parfum-pimprod2028401?sku=2586665
PhilosophyÂ,Amazing Grace Eau de Parfum,$77.00,,https://www.ulta.com/p/amazing-grace-eau-de-parfum-xlsImpprod1500100?sku=2154024
NOYZÂ,Only Human Eau De Parfum,$85.00,,https://www.ulta.com/p/only-human-eau-de-parfum-pimprod2054674?sku=2645672
ValentinoÂ,Voce Viva Eau de Parfum,$108.00 - $180.00,,https://www.ulta.com/p/voce-viva-eau-de-parfum-pimprod2017833?sku=2569443
DiorÂ,Hypnotic Poison Eau de Toilette,$98.00 - $120.00,,https://www.ulta.com/p/hypnotic-poison-eau-de-toilette-xlsImpprod13231203?sku=2018642
Ariana GrandeÂ,Ari Eau de Parfum,$50.00 - $72.00,,https://www.ulta.com/p/ari-eau-de-parfum-xlsImpprod13001021?sku=2293165
VersaceÂ,Bright Crystal Eau de Toilette 2 Piece Gift Set,$79.00Kit Price ($116 value)($116 value),,https://www.ulta.com/p/bright-crystal-eau-de-toilette-2-piece-gift-set-pimprod2005336?sku=2546053
MUGLERÂ,Angel Eau de Parfum,$100.00 - $195.00,,https://www.ulta.com/p/angel-eau-de-parfum-xlsImpprod3920101?sku=2216772
Donna KaranÂ,Cashmere Mist Eau de Parfum,$78.00 - $135.00,,https://www.ulta.com/p/cashmere-mist-eau-de-parfum-xlsImpprod640940?sku=2222563
Viktor&RolfÂ,Flowerbomb Tiger Lily Eau de Parfum,$145.00 - $182.00,,https://www.ulta.com/p/flowerbomb-tiger-lily-eau-de-parfum-pimprod2044095?sku=2620901
Ellis BrooklynÂ,VANILLA SALT Eau de Parfum,$115.00,,https://www.ulta.com/p/vanilla-salt-eau-de-parfum-pimprod2053635?sku=2645852
CliniqueÂ,Happy Heart Perfume Spray,$65.00 - $108.00,,https://www.ulta.com/p/happy-heart-perfume-spray-VP11392?sku=2135392
VersaceÂ,Dylan Blue Pour Femme Eau de Parfum,$128.00 - $148.00,,https://www.ulta.com/p/dylan-blue-pour-femme-eau-de-parfum-xlsImpprod18381083?sku=2529618
SnifÂ,Me Eau de Toilette,$65.00,,https://www.ulta.com/p/me-eau-de-toilette-pimprod2049587?sku=2634514
VersaceÂ,Eros Pour Femme Eau de Toilette,$92.00,,https://www.ulta.com/p/eros-pour-femme-eau-de-toilette-xlsImpprod14921147?sku=2500579
Yves Saint LaurentÂ,Mon Paris Eau de Parfum Travel Size Perfume,$35.00,,https://www.ulta.com/p/mon-paris-eau-de-parfum-travel-size-perfume-xlsImpprod14421029?sku=2306792
Ariana GrandeÂ,Thank U Next Eau de Parfum,$50.00 - $72.00,,https://www.ulta.com/p/thank-u-next-eau-de-parfum-pimprod2008597?sku=2551012
Ralph LaurenÂ,Ralph Eau de Toilette,$103.00,,https://www.ulta.com/p/ralph-eau-de-toilette-VP11080?sku=2050825
OrebellaÂ,NIGHTCAP Parfum,$72.00 - $100.00,,https://www.ulta.com/p/nightcap-parfum-pimprod2045006?sku=2618385
GucciÂ,8 Piece Fragrance Sampling Gift Set,$39.00,,https://www.ulta.com/p/8-piece-fragrance-sampling-gift-set-pimprod2050222?sku=2637180
CliniqueÂ,Happy Together Perfume Holiday Gift Set,$85.00Kit Price ($112 value)($112 value),,https://www.ulta.com/p/happy-together-perfume-holiday-gift-set-pimprod2030338?sku=2593964
Ellis BrooklynÂ,MYTH Eau de Parfum,$115.00,,https://www.ulta.com/p/myth-eau-de-parfum-pimprod2017166?sku=2570409
CHANELÂ,COCO MADEMOISELLE L'EAU PRIVÃE Eau Pour la Nuit Spray,$116.00 - $150.00,,https://www.ulta.com/p/coco-mademoiselle-leau-privee-eau-pour-la-nuit-spray-pimprod2020309?sku=2568059
GucciÂ,Guilty Pour Femme Eau de Toilette,$99.00 - $155.00,,https://www.ulta.com/p/guilty-pour-femme-eau-de-toilette-xlsImpprod2570027?sku=2574979
Tiffany & Co.Â,Rose Gold Eau de Parfum,$111.00 - $178.00,,https://www.ulta.com/p/rose-gold-eau-de-parfum-pimprod2025965?sku=2583481
SnifÂ,Coco Shimmy Eau de Toilette,$65.00,,https://www.ulta.com/p/coco-shimmy-eau-de-toilette-pimprod2044975?sku=2623602
MUGLERÂ,Alien Goddess Eau de Parfum,$100.00 - $185.00,,https://www.ulta.com/p/alien-goddess-eau-de-parfum-pimprod2026644?sku=2583809
PhilosophyÂ,Amazing Grace and Fresh Cream Warm Cashmere 2-Piece Mini Gift Set,$35.00Kit Price ($55 value)($55 value),,https://www.ulta.com/p/amazing-grace-fresh-cream-warm-cashmere-2-piece-mini-gift-set-pimprod2047242?sku=2628556
Dolce&GabbanaÂ,The One Eau de Parfum,$129.00 - $152.00,,https://www.ulta.com/p/one-eau-de-parfum-prod481734?sku=2159420
Lake & SkyeÂ,11 11 Eau de Parfum,$98.00 - $138.00,,https://www.ulta.com/p/11-11-eau-de-parfum-pimprod2009910?sku=2555874
Jimmy ChooÂ,Fever Eau de Parfum,$80.00 - $140.00,,https://www.ulta.com/p/fever-eau-de-parfum-pimprod2003449?sku=2532969
Marc JacobsÂ,Perfect Eau de Toilette,$82.00 - $142.00,,https://www.ulta.com/p/perfect-eau-de-toilette-pimprod2037022?sku=2605083
Juicy CoutureÂ,Viva La Juicy and Just Moi Eau de Parfum 2 Piece Mini Gift Set,$30.00,,https://www.ulta.com/p/viva-la-juicy-just-moi-eau-de-parfum-2-piece-mini-gift-set-pimprod2052599?sku=2645326
CoachÂ,Coach Dreams Trio Set,$48.00,,https://www.ulta.com/p/coach-dreams-trio-set-pimprod2051572?sku=2640045
Dolce&GabbanaÂ,Mini Gift Set Female,$50.00,,https://www.ulta.com/p/mini-gift-set-female-pimprod2051542?sku=2639378
Donna KaranÂ,Cashmere Mist Eau de Toilette,$72.00 - $115.00,,https://www.ulta.com/p/cashmere-mist-eau-de-toilette-fs801659?sku=2084382
LancÃ´meÂ,IdÃ´le Power Eau De Parfum Intense,$72.00 - $162.00,,https://www.ulta.com/p/idole-power-eau-de-parfum-intense-pimprod2049981?sku=2634411
Carolina HerreraÂ,Viral Mini Good Girl and Very Good Girl Elixir Duo Gift Set,$39.00,,https://www.ulta.com/p/viral-mini-good-girl-very-good-girl-elixir-duo-gift-set-pimprod2051347?sku=2639348
ARMANIÂ,My Way Nectar Eau de Parfum,$99.00 - $170.00,,https://www.ulta.com/p/my-way-nectar-eau-de-parfum-pimprod2044093?sku=2621942
NOYZÂ,Unmute Eau De Parfum Travel Size,$38.00,,https://www.ulta.com/p/unmute-eau-de-parfum-travel-size-pimprod2045039?sku=2624680
SnifÂ,Crumb Couture Eau de Toilette,$65.00,,https://www.ulta.com/p/crumb-couture-eau-de-toilette-pimprod2052772?sku=2643797
DiorÂ,Miss Dior Eau de Parfum Roller-Pearl,$60.00,,https://www.ulta.com/p/miss-dior-eau-de-parfum-roller-pearl-pimprod2032067?sku=2593495
OrebellaÂ,WINDOW2SOUL Parfum,$72.00 - $100.00,,https://www.ulta.com/p/window2soul-parfum-pimprod2045009?sku=2618390
LancÃ´meÂ,IdÃ´le Now Eau De Parfum,$69.00 - $157.00,,https://www.ulta.com/p/idole-now-eau-de-parfum-pimprod2040101?sku=2613202
Tory BurchÂ,Sublime by Tory Burch Eau de Parfum,$85.00 - $155.00,,https://www.ulta.com/p/sublime-by-tory-burch-eau-de-parfum-pimprod2046784?sku=2628611
GivenchyÂ,Irresistible Very Floral Eau De Parfum,$135.00 - $158.00,,https://www.ulta.com/p/irresistible-very-floral-eau-de-parfum-pimprod2043005?sku=2619634
Kate Spade New YorkÂ,Kate Spade New York Eau de Parfum,$60.00 - $104.00,,https://www.ulta.com/p/kate-spade-new-york-eau-de-parfum-pimprod2019975?sku=2574799
GivenchyÂ,Irresistible Nude Velvet Eau De Parfum,$158.00,,https://www.ulta.com/p/irresistible-nude-velvet-eau-de-parfum-pimprod2049273?sku=2626873
VersaceÂ,Dylan Purple Eau de Parfum 2 Piece Gift Set,$89.00Kit Price ($126 value)($126 value),,https://www.ulta.com/p/dylan-purple-eau-de-parfum-2-piece-gift-set-pimprod2041510?sku=2616273
Jean Paul GaultierÂ,La Belle Paradise Garden Eau de Parfum,$96.00 - $162.00,,https://www.ulta.com/p/la-belle-paradise-garden-eau-de-parfum-pimprod2050463?sku=2638989
EstÃ©e LauderÂ,Beautiful Eau de Parfum Spray,$82.00 - $160.00,,https://www.ulta.com/p/beautiful-eau-de-parfum-spray-VP11708?sku=2129092
VersaceÂ,Bright Crystal & Crystal Noir Mini Duo,$30.00,,https://www.ulta.com/p/bright-crystal-crystal-noir-mini-duo-pimprod2052735?sku=2642056
Yves Saint LaurentÂ,Libre Le Parfum,$120.00 - $205.00,,https://www.ulta.com/p/libre-le-parfum-pimprod2034820?sku=2601606
ARMANIÂ,My Way Eau de Parfum Ylang,$99.00 - $170.00,,https://www.ulta.com/p/my-way-eau-de-parfum-ylang-pimprod2049505?sku=2634408
Carolina HerreraÂ,Mini Good Girl Eau de Parfum 2 Piece Travel Gift Set,$39.00,,https://www.ulta.com/p/mini-good-girl-eau-de-parfum-2-piece-travel-gift-set-pimprod2051349?sku=2639350
Juicy CoutureÂ,Viva La Juicy Gold Couture Eau de Parfum,$129.00,,https://www.ulta.com/p/viva-la-juicy-gold-couture-eau-de-parfum-xlsImpprod10651092?sku=2276673
GivenchyÂ,Irresistible Rose Velvet Eau de Parfum,$99.00 - $158.00,,https://www.ulta.com/p/irresistible-rose-velvet-eau-de-parfum-pimprod2037243?sku=2607538
RabanneÂ,Fame Eau de Parfum,$86.00 - $200.00,,https://www.ulta.com/p/fame-eau-de-parfum-pimprod2037058?sku=2605076
Tiffany & Co.Â,Tiffany & Love Eau de Parfum For Her,$150.00 - $181.00,,https://www.ulta.com/p/tiffany-love-eau-de-parfum-her-pimprod2021295?sku=2574985
GucciÂ,Guilty Pour Femme Eau de Parfum,$111.00 - $181.00,,https://www.ulta.com/p/guilty-pour-femme-eau-de-parfum-pimprod2003337?sku=2540887
LE MONDE GOURMANDÂ,Santal Supreme Eau De Parfum,sale price $18.75$18.75list price $25.00$25.00,,https://www.ulta.com/p/santal-supreme-eau-de-parfum-pimprod2044084?sku=2622668
VacationÂ,"""AFTER SUN"" by Vacation Eau de Toilette",$60.00,,https://www.ulta.com/p/after-sun-by-vacation-eau-de-toilette-pimprod2043692?sku=2620580
CHANELÂ,COCO MADEMOISELLE Eau de Toilette Spray,$116.00 - $150.00,,https://www.ulta.com/p/coco-mademoiselle-eau-de-toilette-spray-pimprod2015862?sku=2090724
Tiffany & Co.Â,Rose Gold Intense Eau de Parfum,$118.00 - $190.00,,https://www.ulta.com/p/rose-gold-intense-eau-de-parfum-pimprod2042423?sku=2615950
VersaceÂ,Dylan Turquoise Eau De Toilette,$70.00 - $115.00,,https://www.ulta.com/p/dylan-turquoise-eau-de-toilette-pimprod2022634?sku=2577667
Ralph LaurenÂ,Blue Eau de Toilette,$110.00,,https://www.ulta.com/p/blue-eau-de-toilette-fs1005039?sku=2093788
Dolce&GabbanaÂ,Dolce Eau de Parfum,$147.00,,https://www.ulta.com/p/dolce-eau-de-parfum-xlsImpprod6490040?sku=2272969
LancÃ´meÂ,TrÃ©sor Eau de Parfum,$90.00 - $162.00,,https://www.ulta.com/p/tresor-eau-de-parfum-pimprod2022037?sku=2129626
ValentinoÂ,Donna Born In Roma Eau de Parfum 2 Piece Women's Fragrance Gift Set,$150.00Kit Price ($188 value)($188 value),,https://www.ulta.com/p/donna-born-in-roma-eau-de-parfum-2-piece-womens-fragrance-gift-set-pimprod2048609?sku=2631688
Ariana GrandeÂ,R.E.M. Eau de Parfum,$50.00 - $72.00,,https://www.ulta.com/p/rem-eau-de-parfum-pimprod2017866?sku=2570224
Jimmy ChooÂ,Jimmy Choo Eau de Parfum,$80.00 - $109.00,,https://www.ulta.com/p/jimmy-choo-eau-de-parfum-xlsImpprod4760589?sku=2252982
NOYZÂ,The Solid Fragrance - Unmute,$42.00,,https://www.ulta.com/p/solid-fragrance-unmute-pimprod2050397?sku=2635881
PradaÂ,Paradoxe Radical Essence Parfum,$120.00 - $205.00,,https://www.ulta.com/p/paradoxe-radical-essence-parfum-pimprod2053105?sku=2643488
Dolce&GabbanaÂ,Dolce Lily Eau de Toilette,$131.00,,https://www.ulta.com/p/dolce-lily-eau-de-toilette-pimprod2030938?sku=2593478
NOYZÂ,Detour Eau de Parfum,$85.00,,https://www.ulta.com/p/detour-eau-de-parfum-pimprod2051503?sku=2638664
CoachÂ,Dreams Eau de Parfum,$78.00 - $120.00,,https://www.ulta.com/p/dreams-eau-de-parfum-pimprod2013141?sku=2560703
ChloÃ©Â,ChloÃ© Eau de Parfum 2-Piece Mini Gift Set,$42.00,,https://www.ulta.com/p/chloe-eau-de-parfum-2-piece-mini-gift-set-pimprod2046897?sku=2630509
DiorÂ,Miss Dior Rose N'Roses Eau de Toilette,$98.00 - $188.00,,https://www.ulta.com/p/miss-dior-rose-nroses-eau-de-toilette-pimprod2012225?sku=2576609
SnifÂ,Rose Era Eau de Toilette,$65.00,,https://www.ulta.com/p/rose-era-eau-de-toilette-pimprod2046282?sku=2627683
RabanneÂ,Fame Parfum,$100.00 - $176.00,,https://www.ulta.com/p/fame-parfum-pimprod2043055?sku=2616348
PhilosophyÂ,Pure Grace Eau de Parfum,$77.00,,https://www.ulta.com/p/pure-grace-eau-de-parfum-pimprod2016069?sku=2564173
Dolce&GabbanaÂ,Dolce Blue Jasmine Eau de Parfum 2-Pc Gift Set,$99.00,,https://www.ulta.com/p/dolce-blue-jasmine-eau-de-parfum-2-pc-gift-set-pimprod2045030?sku=2625171
BurberryÂ,Her Eau de Parfum Petals Limited Edition,$168.00,,https://www.ulta.com/p/her-eau-de-parfum-petals-limited-edition-pimprod2043000?sku=2617113
LE MONDE GOURMANDÂ,Pistachio BrÃ»lÃ©e Eau De Parfum,sale price $18.75$18.75list price $25.00$25.00,,https://www.ulta.com/p/pistachio-brulee-eau-de-parfum-pimprod2044082?sku=2622666
ChloÃ©Â,L'Eau de Parfum Lumineuse,$111.00 - $150.00,,https://www.ulta.com/p/leau-de-parfum-lumineuse-pimprod2041699?sku=2615727
PhilosophyÂ,Pure Grace Eau de Toilette,$31.00 - $88.00,,https://www.ulta.com/p/pure-grace-eau-de-toilette-xlsImpprod1500152?sku=2154025
Dolce&GabbanaÂ,Dolce Garden Eau de Parfum,$147.00,,https://www.ulta.com/p/dolce-garden-eau-de-parfum-xlsImpprod17671005?sku=2521461
Juicy CoutureÂ,Viva La Juicy Le Bubbly Eau De Parfum,$105.00 - $129.00,,https://www.ulta.com/p/viva-la-juicy-le-bubbly-eau-de-parfum-pimprod2049271?sku=2634581
CHANELÂ,NÂ°5 Eau de Toilette Spray,$116.00 - $150.00,,https://www.ulta.com/p/n5-eau-de-toilette-spray-pimprod2015922?sku=2093301
BurberryÂ,Burberry 2-Piece Mini Perfume Gift Set,$39.00,,https://www.ulta.com/p/burberry-2-piece-mini-perfume-gift-set-pimprod2054526?sku=2646128
OUAIÂ,Melrose Place Eau de Parfum,$64.00,,https://www.ulta.com/p/melrose-place-eau-de-parfum-pimprod2013115?sku=2562014
GucciÂ,Bloom Eau de Toilette,$90.00 - $141.00,,https://www.ulta.com/p/bloom-eau-de-toilette-pimprod2031313?sku=2593326
ValentinoÂ,Donna Born in Roma Rendez-Vous Ivory Eau de Parfum,$190.00,,https://www.ulta.com/p/donna-born-in-roma-rendez-vous-ivory-eau-de-parfum-pimprod2054956?sku=2646516
CHANELÂ,CHANCE Eau de Toilette Spray,$116.00 - $150.00,,https://www.ulta.com/p/chance-eau-de-toilette-spray-pimprod2015856?sku=2078590
ChloÃ©Â,Chloe Eau de Parfum 2 Piece Gift Set,$60.00Kit Price ($69 value)($69 value),,https://www.ulta.com/p/chloe-eau-de-parfum-2-piece-gift-set-pimprod2051272?sku=2637251
GucciÂ,Flora Eau de Parfum Mini 2-Piece Gift Set,$42.00,,https://www.ulta.com/p/flora-eau-de-parfum-mini-2-piece-gift-set-pimprod2054132?sku=2646705
TOM FORDÂ,OmbrÃ© Leather Eau de Parfum,$165.00 - $240.00,,https://www.ulta.com/p/ombre-leather-eau-de-parfum-pimprod2007694?sku=2554097
Viktor&RolfÂ,Flowerbomb Ruby Orchid Eau de Parfum,$105.00 - $245.00,,https://www.ulta.com/p/flowerbomb-ruby-orchid-eau-de-parfum-pimprod2031488?sku=2595933
ChloÃ©Â,Nomade Eau de Parfum,$111.00 - $178.00,,https://www.ulta.com/p/nomade-eau-de-parfum-xlsImpprod17791023?sku=2523545
NEST New YorkÂ,Vanilla Bourbon Eau de Parfum,$92.00,,https://www.ulta.com/p/vanilla-bourbon-eau-de-parfum-pimprod2053258?sku=2642888
GucciÂ,Bloom Eau de Parfum Intense,$110.00 - $180.00,,https://www.ulta.com/p/bloom-eau-de-parfum-intense-pimprod2037961?sku=2607428
DIMEÂ,Dans Les Bois Eau de Toilette,$62.00,,https://www.ulta.com/p/dans-les-bois-eau-de-toilette-pimprod2038042?sku=2609496
LancÃ´meÂ,Limited-Edition Holiday Mini Perfume Sampler Gift Set,$50.00Kit Price ($80 value)($80 value),,https://www.ulta.com/p/limited-edition-holiday-mini-perfume-sampler-gift-set-pimprod2054542?sku=2646681
CHANELÂ,GABRIELLE CHANEL ESSENCE Eau de Parfum Spray,$147.00 - $182.00,,https://www.ulta.com/p/gabrielle-chanel-essence-eau-de-parfum-spray-pimprod2015978?sku=2551549
GucciÂ,Bloom Parfum,$110.00 - $180.00,,https://www.ulta.com/p/bloom-parfum-pimprod2051665?sku=2636320
KYLIE COSMETICSÂ,Cosmic Kylie Jenner Eau de Parfum 2-Piece Travel Spray Gift Set,$39.00Kit Price ($54 value)($54 value),,https://www.ulta.com/p/cosmic-kylie-jenner-eau-de-parfum-2-piece-travel-spray-gift-set-pimprod2051276?sku=2637254
ChloÃ©Â,LâEau de Parfum Intense,$118.00 - $190.00,,https://www.ulta.com/p/leau-de-parfum-intense-pimprod2046890?sku=2628694
KYLIE COSMETICSÂ,Cosmic Kylie Jenner Eau de Parfum Spray & Mini Kylash Volume Mascara Gift Set,$52.00Kit Price ($63 value)($63 value),,https://www.ulta.com/p/cosmic-kylie-jenner-eau-de-parfum-spray-mini-kylash-volume-mascara-gift-set-pimprod2050268?sku=2637248
LE MONDE GOURMANDÂ,PÃ©tale ÃphÃ©mÃ¨re Eau De Parfum,sale price $18.75$18.75list price $25.00$25.00,,https://www.ulta.com/p/petale-ephemere-eau-de-parfum-pimprod2044085?sku=2622669
Marc JacobsÂ,Daisy Ever So Fresh Eau de Parfum,$96.00 - $182.00,,https://www.ulta.com/p/daisy-ever-so-fresh-eau-de-parfum-pimprod2034162?sku=2599350
PhilosophyÂ,Fragrance Discovery 4-Piece Gift Set,$12.00,,https://www.ulta.com/p/fragrance-discovery-4-piece-gift-set-pimprod2047251?sku=2630359
Viktor&RolfÂ,Flowerbomb Nectar Eau de Parfum,$150.00 - $187.00,,https://www.ulta.com/p/flowerbomb-nectar-eau-de-parfum-pimprod2031924?sku=2536710
EstÃ©e LauderÂ,Pleasures Eau de Parfum Perfume Spray,$88.00 - $118.00,,https://www.ulta.com/p/pleasures-eau-de-parfum-perfume-spray-VP11711?sku=2129101
Dolce&GabbanaÂ,Q by Dolce&Gabbana Parfum,$184.00,,https://www.ulta.com/p/q-by-dolce-gabbana-parfum-pimprod2050918?sku=2636293
NEST New YorkÂ,Santa Barbara Strawberry Perfume Oil,$102.00,,https://www.ulta.com/p/santa-barbara-strawberry-perfume-oil-pimprod2052875?sku=2642877
CliniqueÂ,My Happy Cocoa & Cashmere Perfume Spray,$108.00,,https://www.ulta.com/p/my-happy-cocoa-cashmere-perfume-spray-xlsImpprod18731101?sku=2613551
PhilosophyÂ,Fresh Cream Eau de Toilette,$58.00,,https://www.ulta.com/p/fresh-cream-eau-de-toilette-xlsImpprod10861007?sku=2278374
Jean Paul GaultierÂ,Gaultier Divine Le Parfum,$104.00 - $184.00,,https://www.ulta.com/p/gaultier-divine-le-parfum-pimprod2050462?sku=2638990
DiorÂ,Pure Poison Eau de Parfum,$149.00,,https://www.ulta.com/p/pure-poison-eau-de-parfum-xlsImpprod13231205?sku=2111960
MACÂ,Turquatic Fragrance Blend Perfume Spray,$70.00,,https://www.ulta.com/p/turquatic-fragrance-blend-perfume-spray-pimprod2042410?sku=2614481
Viktor&RolfÂ,Mini Flowerbomb Perfume Gift Set,$35.00Kit Price ($60 value)($60 value),,https://www.ulta.com/p/mini-flowerbomb-perfume-gift-set-pimprod2050977?sku=2636549
Dolce&GabbanaÂ,Q by Dolce&Gabbana Eau de Parfum,$129.00 - $161.00,,https://www.ulta.com/p/q-by-dolce-gabbana-eau-de-parfum-pimprod2037613?sku=2607918
CliniqueÂ,Aromatics Elixir Eau de Parfum Spray,$118.00,,https://www.ulta.com/p/aromatics-elixir-eau-de-parfum-spray-VP11395?sku=2127419
Juicy CoutureÂ,Viva La Juicy SucrÃ© Eau De Parfum,$105.00 - $129.00,,https://www.ulta.com/p/viva-la-juicy-sucre-eau-de-parfum-pimprod2039768?sku=2613549
Ariana GrandeÂ,MOD Vanilla 3-Piece Gift Set,$75.00,,https://www.ulta.com/p/mod-vanilla-3-piece-gift-set-pimprod2054354?sku=2645636
LancÃ´meÂ,IdÃ´le Nectar Eau de Parfum,$128.00 - $157.00,,https://www.ulta.com/p/idole-nectar-eau-de-parfum-pimprod2034072?sku=2599230
Dolce&GabbanaÂ,Dolce Blue Jasmine Eau de Parfum,$88.00 - $147.00,,https://www.ulta.com/p/dolce-blue-jasmine-eau-de-parfum-pimprod2044090?sku=2622850
Kate Spade New YorkÂ,Pop Eau de Parfum,$60.00 - $104.00,,https://www.ulta.com/p/pop-eau-de-parfum-pimprod2053648?sku=2645549
PhilosophyÂ,Radiant Grace Eau de Parfum,$77.00 - $98.00,,https://www.ulta.com/p/radiant-grace-eau-de-parfum-pimprod2044437?sku=2621893
Jimmy ChooÂ,L'Eau Eau de Toilette,$71.00 - $98.00,,https://www.ulta.com/p/leau-eau-de-toilette-xlsImpprod15471027?sku=2505223
Juicy CoutureÂ,Viva La Juicy Mini + Gold Couture Mini 2 Piece Set,$30.00,,https://www.ulta.com/p/viva-la-juicy-mini-gold-couture-mini-2-piece-set-pimprod2047965?sku=2629006
CHANELÂ,GABRIELLE CHANEL Eau de Parfum Spray,$143.00 - $176.00,,https://www.ulta.com/p/gabrielle-chanel-eau-de-parfum-spray-pimprod2015972?sku=2516493
Carolina HerreraÂ,Good Girl Blush Bowtastic Collector's Edition Eau de Parfum,$180.00,,https://www.ulta.com/p/good-girl-blush-bowtastic-collectors-edition-eau-de-parfum-pimprod2053906?sku=2645582
SnifÂ,Bestseller Sample Set Eau de Toilette,$19.00,,https://www.ulta.com/p/bestseller-sample-set-eau-de-toilette-pimprod2045107?sku=2624925
SnifÂ,Sweet Ash Eau de Toilette,$65.00,,https://www.ulta.com/p/sweet-ash-eau-de-toilette-pimprod2040336?sku=2614718
NEST New YorkÂ,Madagascar Vanilla Perfume Oil,$102.00,,https://www.ulta.com/p/madagascar-vanilla-perfume-oil-pimprod2053624?sku=2642868
Lake & SkyeÂ,11 11 Vanilla Eau de Parfum,$98.00 - $138.00,,https://www.ulta.com/p/11-11-vanilla-eau-de-parfum-pimprod2046657?sku=2627733
DiorÂ,J'adore Eau LumiÃ¨re Eau de Toilette,$145.00,,https://www.ulta.com/p/jadore-eau-lumiere-eau-de-toilette-xlsImpprod13911007?sku=2506282
NEST New YorkÂ,Madagascar Vanilla Eau de Parfum,$92.00,,https://www.ulta.com/p/madagascar-vanilla-eau-de-parfum-pimprod2053256?sku=2642882
NEST New YorkÂ,Indigo Eau de Parfum,$92.00,,https://www.ulta.com/p/indigo-eau-de-parfum-pimprod2053631?sku=2643741
Tiffany & Co.Â,Tiffany Eau de Parfum,$111.00 - $178.00,,https://www.ulta.com/p/tiffany-eau-de-parfum-pimprod2012224?sku=2549055
GucciÂ,Guilty Pour Femme Eau de Parfum Intense,$118.00 - $190.00,,https://www.ulta.com/p/guilty-pour-femme-eau-de-parfum-intense-pimprod2030367?sku=2591340
Dolce&GabbanaÂ,Devotion Eau de Parfum Heart,$58.00,,https://www.ulta.com/p/devotion-eau-de-parfum-heart-pimprod2054279?sku=2645657
VersaceÂ,Dylan Turquoise Eau de Toilette Gift Set,$72.00Kit Price ($108 value)($108 value),,https://www.ulta.com/p/dylan-turquoise-eau-de-toilette-gift-set-pimprod2029196?sku=2588668
MUGLERÂ,Alien Extraintense Eau de Parfum Intense,$100.00 - $185.00,,https://www.ulta.com/p/alien-extraintense-eau-de-parfum-intense-pimprod2050271?sku=2634555
Ariana GrandeÂ,Cloud 3-Piece Gift Set,$75.00,,https://www.ulta.com/p/cloud-3-piece-gift-set-pimprod2054353?sku=2645635
Dolce&GabbanaÂ,Mix Set For Her,$79.00,,https://www.ulta.com/p/mix-set-her-pimprod2054614?sku=2648042
CHANELÂ,CHANCE EAU VIVE Eau de Toilette Spray,$150.00,,https://www.ulta.com/p/chance-eau-vive-eau-de-toilette-spray-pimprod2015967?sku=2293050
Ellis BrooklynÂ,SWEET Eau de Parfum,$115.00,,https://www.ulta.com/p/sweet-eau-de-parfum-pimprod2017170?sku=2570421
MUGLERÂ,Alien Mini Discovery Gift Set,$32.00Kit Price ($39 value)($39 value),,https://www.ulta.com/p/alien-mini-discovery-gift-set-pimprod2051900?sku=2639223
Dolce&GabbanaÂ,Dolce Violet Eau de Toilette,$105.00 - $131.00,,https://www.ulta.com/p/dolce-violet-eau-de-toilette-pimprod2038109?sku=2608506
DiorÂ,Miss Dior Mini Miss Blooming Bouquet Solid Perfume,$75.00,,https://www.ulta.com/p/miss-dior-mini-miss-blooming-bouquet-solid-perfume-pimprod2049383?sku=2631566
OrebellaÂ,Parfum Discovery Set,$25.00Kit Price ($40 value)($40 value),,https://www.ulta.com/p/parfum-discovery-set-pimprod2048385?sku=2631678
EstÃ©e LauderÂ,Bronze Goddess Eau FraÃ®che Eau de Toilette,$88.00 - $102.00,,https://www.ulta.com/p/bronze-goddess-eau-fraiche-eau-de-toilette-xlsImpprod12191169?sku=2547473
Ariana GrandeÂ,Ariana Grande 4-Piece Coffret,$50.00,,https://www.ulta.com/p/ariana-grande-4-piece-coffret-pimprod2054352?sku=2645634
Ellis BrooklynÂ,DESSERT DUO: Mini APPLE LOVE & VANILLA MILK Duo Set,$37.00Kit Price ($50 value)($50 value),,https://www.ulta.com/p/dessert-duo-mini-apple-love-vanilla-milk-duo-set-pimprod2053838?sku=2645889
Calvin KleinÂ,Euphoria Eau de Parfum,$75.00 - $123.00,,https://www.ulta.com/p/euphoria-eau-de-parfum-VP10888?sku=2118558
CliniqueÂ,Happy in Paradise Eau de Parfum,$108.00,,https://www.ulta.com/p/happy-in-paradise-eau-de-parfum-pimprod2043820?sku=2619268
Marc JacobsÂ,Daisy Eau So Intense Eau de Parfum,$96.00 - $165.00,,https://www.ulta.com/p/daisy-eau-so-intense-eau-de-parfum-pimprod2023004?sku=2578519
OUAIÂ,North Bondi Eau de Parfum,$64.00,,https://www.ulta.com/p/north-bondi-eau-de-parfum-pimprod2013118?sku=2562015
Ralph LaurenÂ,Romance Eau de Parfum Intense,$75.00 - $144.00,,https://www.ulta.com/p/romance-eau-de-parfum-intense-pimprod2042551?sku=2619490
KRISTIN ESS HAIRÂ,The One Signature Hair Perfume,sale price $14.25$14.25list price $19.00$19.00,,https://www.ulta.com/p/one-signature-hair-perfume-pimprod2048897?sku=2633092
