Brand,Product,Price,Image_Link,Product_Link,summary,Fragrance Family,Key Notes,Benefits,How To Use,Ingredients
GucciÂ,Guilty Love Edition Eau de Parfum for Women,$150.00 - $181.00,,https://www.ulta.com/p/guilty-love-edition-eau-de-parfum-women-pimprod2049464?sku=2633367,"Gucci Guilty Love Edition for Women is a fragrant homage to the authentic, pure power of love. Opening the Gucci fragrance, a fresh lilac accord blossoms into warm patchouli oil and a smooth amber finish, subtly touched by muskâcreating a compelling, sensual fragrance perfect for moments of passion.",Woody Floral,Top- Lilac AccordHeart- Patchouli OilBase- Musky Ambery Accord,,,
DiorÂ,J'adore L'Or,$142.00 - $246.00,,https://www.ulta.com/p/jadore-lor-pimprod2040962?sku=2630443,"Created by Francis Kurkdjian, this luminous solar floral perfume masterfully balances honeyed centifolia rose with rich jasmine grandiflorum absolutes, revealing notes of coconut and mango. Reminiscent of liquid gold, this voluptuous bouquet envelops the skin in a warm, long-lasting, sensual trail.",,"Velvety Damascena Rose, fruity Grandiflorum Jasmine, solar Ylang Ylang, Item 2630443",,,
GucciÂ,Flora Gorgeous Magnolia Eau de Parfum,$111.00 - $225.00,,https://www.ulta.com/p/flora-gorgeous-magnolia-eau-de-parfum-pimprod2040057?sku=2612786,"Explore a world of confidence and inner strength with the newest addition to the #FloraFantasy collection. Transporting you to a world of radiant floral power, the soft and sensual scents of Magnolia Essence, Dewberries Accord, and Patchouli Essence combine to create an empowered perfume for women.",Floral & Fruity,Top - dewberries accordMiddle - magnolia essenceBase - patchouli essence Item 2612786,,,
BurberryÂ,Her Discovery 4 Piece Travel Spray Gift Set,$40.00,,https://www.ulta.com/p/her-discovery-4-piece-travel-spray-gift-set-pimprod2050015?sku=2637047,Celebrate with a Burberry Her gift setâand let them experience the ambery fruity gourmand aromas of the Burberry Her collection.,Ambery Item 2637047,,"This Burberry Her gift set includes Burberry Her Eau de Parfum, the house's very first fruity gourmand fragrance, a mesmerizing scent infused with uniquely British aromas.Burberry Her Eau de Toilette is a blooming peony scent, blended with joyful and juicy green pear notes, that enhances a honeysuckle heart softened by an addictive musk.Burberry Her Eau de Parfum Intense amplifies Her's signature scent with fruity notes of wild strawberry and orange blossom, surrounded with warm ambery wood.Burberry Her Elixir de Parfum offers signature fruity gourmand notes alongside a daring burst of dark red berries with jasmine, rounded with the addictive and sensual fragrance of vanilla and amber.",,
Marc JacobsÂ,Daisy Eau So Fresh Eau de Toilette,$82.00 - $160.00,,https://www.ulta.com/p/daisy-eau-so-fresh-eau-de-toilette-xlsImpprod2980129?sku=2226856,"Sophisticated but not too serious, Daisy Eau So Fresh sparkles with a sunny, vibrant energy. The scent's enticing top notes of raspberry and grapefruit sparkle on the skin like sunshine, deepening into a sensuous heart of wild rose and a musky, sophisticated finish of warm plum and cedarwood.",Floral,"Top - Pink Grapefruit, RaspberriesMiddle - Wild RoseBase - Soft Musks Item 2226856",,,
CHANELÂ,CHANCE Eau de Parfum Spray,$143.00 - $176.00,,https://www.ulta.com/p/chance-eau-de-parfum-spray-pimprod2015939?sku=2160984,"Unpredictable, in perpetual movement, CHANEL CHANCE Eau de Parfum is an unexpected floral fragrance that sweeps you into a whirlwind of happiness and fantasy.",,,,,
PradaÂ,Candy Eau de Parfum,$93.00 - $162.00,,https://www.ulta.com/p/candy-eau-de-parfum-xlsImpprod4630107?sku=2292683,"Rethink reality with Prada Candy Eau de Parfum Spray, a joyful olfactory balance merging caramel accord with warm benzoin resin inside a cloud of white musk. A jolt to the system, this perfume triggers bugs of spontaneity in the software of life to open exhilarating spaces of re-imagined reality.",Warm & SpicyGourmand,White MusksBenzoinCarmel Accord Item 2292683,,,
NOYZÂ,Unmute Eau De Parfum,$85.00,,https://www.ulta.com/p/unmute-eau-de-parfum-pimprod2045038?sku=2624679,"Sweet + Dangerous, on Repeat. Vanilla, upgraded. Made to be craved with notes of juicy Black Plum and spicy Spanish Ciste. Get loud. Be bold. Be you. Unmute - by NOYZ.",Amber / Woody / Vanilla,Top: Indonesian Cassia / Black Plum / Clary Sage / Ceylon Cinnamon / PistachioMiddle: Cashmere Woods / Spanish Ciste / Somalian IncenseBase: Madagascar Vanilla / Crisp Amber Item 2624679,,,
BurberryÂ,Burberry Goddess Parfum,$122.00 - $199.00,,https://www.ulta.com/p/burberry-goddess-parfum-pimprod2053196?sku=2642300,"Burberry Goddess Parfum's scent opens with a bold raspberry accord, complemented by the floral aroma of lavender essence. A signature trio of vanillas reveals richness at the heart, while an irresistible suede leather accord brings warmth to the base.","Ambery, leathery","Top- Lavender Essence, Raspberry AccordHeart- Vanilla Infusion, Vanilla Caviar, Vanilla AbsoluteBase- Suede Leather Accord","A gourmand, aromatic, leathery, long-lasting fragranceThe perfume bottle is designed to be refilled Item 2642300",,
PhilosophyÂ,Fresh Cream Soft Velvet Eau de Toilette,$28.00 - $58.00,,https://www.ulta.com/p/fresh-cream-soft-velvet-eau-de-toilette-pimprod2050715?sku=2636300,"Indulge in lifeâs sweetest moments with Philosophy Fresh Cream Soft Velvet Eau de Toilette. A luxurious blend of creamy vanilla, rich chocolate, and Casablanca lily wraps you in comfort. Each spritz is a reminder to press pause and treat yourself.",Ambery,Top - Ginger AccordMiddle - Casablanca LilyBase - Vanilla & Chocolate Item 2636300,,,
NematÂ,Amber Fragrance Oil,sale price $15.74$15.74list price $20.99$20.99,,https://www.ulta.com/p/amber-fragrance-oil-pimprod2022389?sku=2578511,"The Amber Fragrance Oil from Nemat has a subtle yet long-lasting scent - one drop goes a long way. This fragrance blends with your body chemistry to create your own unique scent. This is Nemat's signature ""skin-scent"" with fresh, inspiring, soft and clean notes.",,,,,
Billie EilishÂ,Eilish No. 2 Eau de Parfum,$58.00 - $78.00,,https://www.ulta.com/p/eilish-no-2-eau-de-parfum-pimprod2037339?sku=2605521,"Eilish No. 2 Eau de Parfum by Billie Eilish is an alluring Woody Floral fragrance featuring notes of apple blossom, wild wet poppy flowers, and palo santo.",Woody Floral,"Top - italian bergamot, apple blossom, incenseMiddle - papyrus, black pepper, wild poppy flowerBase - palo santo, ebony, skin musk Item 2605521",,,
LE MONDE GOURMANDÂ,CrÃ¨me Vanille Eau De Parfum,sale price $18.75$18.75list price $25.00$25.00,,https://www.ulta.com/p/creme-vanille-eau-de-parfum-pimprod2044080?sku=2622664,"Warm and sweet, Le Monde Gourmand CrÃ¨me Vanille Eau de Parfum is an elevated vanilla that becomes an extension of you.",Amber Gourmand,Top - creamy apricotMiddle - jasmine petalsBase - brown sugar & amber Item 2622664,,,
Yves Saint LaurentÂ,MYSLF Eau de Parfum Travel Spray,$38.00,,https://www.ulta.com/p/myslf-eau-de-parfum-travel-spray-pimprod2040838?sku=2614187,"MYSLF Eau De Parfum is a woody floral fragrance by YSL Beauty with a unique, long-lasting trail of modernity. A statement of modern Masculinity to celebrate your true self. Unapologetically. Proudly. My scent, MYSLF.",Woody,Fresh AccordOrange Blossom Absolute HeartWoods Heart Item 2614187,,,
RabanneÂ,Million Gold for Her Eau de Parfum,$98.00 - $170.00,,https://www.ulta.com/p/million-gold-her-eau-de-parfum-pimprod2049534?sku=2633408,"Million Gold for Her Eau de Parfum by Rabanne comes alive through the Maison's first-ever Grand Floral. Dive into a world of golden energy with this intoxicatingly sensual women's perfume, blending fiercely feminine white flowers, warm rose and addictive mineral musk.",Floral,Top Notes- RoseMid Notes- White Flower BouquetBase Notes- Mineral Musk,"About the Bottle:Million Gold for Her Eau de Parfum is the fragrant jewel in Rabanne's crown. Elegant and sophisticated, the bottle stands with faceted glass, enhancing the golden scent within.The fragrance is embellished with a distinctive new detail that remains rooted in the Maison's rich history: the iconic XL link.About the Fragrance:Dive into a world of golden exhilaration with Million Gold for Her. This new feminine signature comes alive through the Maison's first-ever Grand Floral.A rule-breaker like all Rabanne fragrances, the complex structure plays out through a disruptive search for a warm metal gold effect on a floral scent.An innovative duality opposing metallic rose oxide with feminine white flowers, contrasted with a salty mineral musk accord. Item 2633408",,
CoachÂ,Coach Gold Parfum,$85.00 - $138.00,,https://www.ulta.com/p/coach-gold-parfum-pimprod2052477?sku=2643442,"Coach Gold is inspired by sun-drenched brilliance and an invitation to unlock your inner glow. Shimmering with sparkling pink peppercorn, the radiant parfum pairs the sensuality of vanilla notes with a comforting almond blossom accord, leaving an addictive trail of golden amber.",Floral,Top - Pink PeppercornMiddle - Almond BlossomBase - Vanilla Item 2643442,,,
Marc JacobsÂ,Daisy Wild Eau So Intense Eau de Parfum,$96.00 - $165.00,,https://www.ulta.com/p/daisy-wild-eau-so-intense-eau-de-parfum-pimprod2050260?sku=2634672,"Echoing the hidden wonders of the forest, Marc Jacobs Daisy Wild Eau So Intense Eau de Parfum for women captures the essence of a vibrant adventure. Fragrant banana blossom intertwines with the luminosity of jasmine, while amber and sandalwood lend the women's perfume a sensual base.",,"Top Note- Banana BlossomHeart Note- Jasmine ExtractBase Notes- Amber, Sandalwood","Vibrant, colorful, and unexpectedThe perfect scent for springUplifts the spiritsThe beautiful fragrance for women lasts all day longIgnites a sense of wanderlust and adventure Item 2634672",,
CoachÂ,Love Eau de Parfum,$80.00 - $126.00,,https://www.ulta.com/p/love-eau-de-parfum-pimprod2040980?sku=2614411,Coach Love Eau de Parfum is inspired by the vibrant and universal feeling of love and all of the unique ways we express it.,Floral,Top - wild strawberryMiddle - red velvet roseBase - cedarwood Item 2614411,,,
VacationÂ,âGRAND CUVÃEâ by Vacation Eau de Toilette,$60.00,,https://www.ulta.com/p/grand-cuvee-by-vacation-eau-de-toilette-pimprod2051451?sku=2635064,"âGRAND CUVÃEâ by Vacation is the signature scent of the âLuxuriantâ Vacation Brand Chardonnay Oil. Serving as a ceremonious toast to âthe good life,â it transports the wearer atop a teakwood yacht at sunset with notes of Argan, Amber, Vanilla, Peach Eau de Vie, & an oceanic hint of Sunwashed Sails.",Amber,"TOP NOTES: Vanilla Bean, Chardonnay, Peach Eau de Vie, Sabered Champagne CorkHEART NOTES: Argan, Sunwashed Sails, Sunkissed SkinBASE NOTES: Amber, Cedarwood, Cognac Item 2635064",,,
OrebellaÂ,BLOOMING FIRE Parfum,$72.00 - $100.00,,https://www.ulta.com/p/blooming-fire-parfum-pimprod2045015?sku=2618436,'ÃrÉbella founded by Bella Hadid. BLOOMING FIRE Parfum is a transportive tropical oasis of monoi flower and exotic patchouli with a radiant bergamot.,Warm Floral,"Top - bergamot, cedarwood, clove leaf, patchouli, cardamomMiddle - monoi, jasmineBase - patchouliPlus Aromatherapy Essential Oils - cedarwood essential oil, clove leaf essential oil, cardamom essential oil Item 2618436",,,
Dolce&GabbanaÂ,The Only One Eau de Parfum,$95.00 - $129.00,,https://www.ulta.com/p/only-one-eau-de-parfum-pimprod2002876?sku=2539508,Dolce&Gabanna's The Only One Eau de Parfum captures the essence of sophisticated and hypnotizing femininity.,Floral,"Violet, BergamotCoffee, IrisVanilla, Patchouli Item 2539508",,,
Ralph LaurenÂ,Beyond Romance Eau de Parfum,$115.00 - $140.00,,https://www.ulta.com/p/beyond-romance-eau-de-parfum-pimprod2007054?sku=2548831,Ralph Lauren Beyond Romance Eau de Parfum is a daringly sweet women's fragrance that transforms the everyday into the extraordinary.,Sweet Floral,"Top - Raspberry Coulis, Mandarin, BergamotMiddle - Rose Centifolia, Jasmine, Lily of the ValleyBase - Black Vanilla, Cashmeran, White Musks Item 2548831",,,
OrebellaÂ,SALTED MUSE Parfum,$72.00 - $100.00,,https://www.ulta.com/p/salted-muse-parfum-pimprod2045012?sku=2618393,"'ÃrÉbella founded by Bella Hadid. SALTED MUSE Parfum is a vibrant blend of sea salt, pink pepper, olive tree and lavender, plus woods and crisp amber.",Woody Marine,"Top - sea salt, pink pepper, CO2 extractMiddle - olive tree accord, fig, lavenderBase - cedarwood, sandalwood, amberPlus Aromatherapy Essential Oils - lavender essential oil, black pepper fruit essential oil, vetiver root essential oil Item 2618393",,,
ChloÃ©Â,ChloÃ© Eau de Parfum,$111.00 - $181.00,,https://www.ulta.com/p/chloe-eau-de-parfum-xlsImpprod4230027?sku=2288093,"ChloÃ© Eau de Parfum begins with a combination of floral powdery notes, hints of peony and lychee and springtime freesia. The distinctive character of this unique rose is accompanied by magnolia and lily of the valley, as well as subtle intimations of warm amber and elegant cedarwood.",Floral,"Top - pink peony, freesia, lycheeMiddle - magnolia flower, lilly of the valley, roseBase - cedarwood, amber, honey Item 2288093",,,
PradaÂ,Mini Paradoxe Discovery Set,$42.00,,https://www.ulta.com/p/mini-paradoxe-discovery-set-pimprod2051866?sku=2639222,Discover Paradoxe by Prada with this miniature floral fragrance set featuring the original Paradoxe Eau de Parfum and Paradoxe Virtual Flower perfume.,Floral,,,,
Vera WangÂ,Vera Wang Love Eau de Parfum,$65.00 - $85.00,,https://www.ulta.com/p/vera-wang-love-eau-de-parfum-pimprod2051440?sku=2639766,"Vera Wang presents a feminine and confident Amber Floral scent featuring Queen of the Night, a fragrance note made to measure for Vera Wang. Tuberose, Jasmine Sambac, and Mandarin add a fruity touch, while Velvety Amber Woods provide a comforting finish that lasts throughout the day",,"Top Notes: Mandarin Essence, Pink Pepper SFE, Blackcurrant AccordHeart Notes: Exclusive Queen of the Night NaturePrint, Indian Tuberose Absolute, Indian Jasmine, Sambac AbsoluteBase Notes: Ambrox Super Z11 HD, Vanilla Accord",,,
Carolina HerreraÂ,Best Sellers Good Girl Perfume 6-Piece Discovery Set,$24.00,,https://www.ulta.com/p/best-sellers-good-girl-perfume-6-piece-discovery-set-pimprod2051350?sku=2639351,"Why settle for one when you can try them all? Sample, mix, or stash one in every bag. Discover the ultimate collection with Carolina Herrerra's Best Sellers Good Girl Perfume Discovery Set, featuring 6 samples of iconic Good Girl perfumes.",,,"Inspired by Carolina Herrera's vision of modern femininity, each fragrance blends dark and light notes to celebrate the beauty of contrasts. Item 2639351",,
Ralph LaurenÂ,Polo 67 Eau de Parfum,$105.00 - $130.00,,https://www.ulta.com/p/polo-67-eau-de-parfum-pimprod2050569?sku=2636550,"Ralph Lauren Polo 67 Eau de Parfum is a bold and addictive fragrance for the man who relentlessly pursues his passions. An addictive pineapple intertwines with the deep warmth of cedarwood and benzoin resin, creating a powerful intensity to propel you toward greatness.",Woody,"Top Notes: Green Mandarin, Bergamot, CardamomHeart Notes: Pineapple, Sesame Seed, Cypress, LavandinBase Notes: Vetiver, Cedarwood, Benzoin Item 2636550",,,
LE MONDE GOURMANDÂ,Chai ÃpicÃ© Eau De Parfum,sale price $18.75$18.75list price $25.00$25.00,,https://www.ulta.com/p/chai-epice-eau-de-parfum-pimprod2044081?sku=2622665,"The TikTok famous Le Monde Gourmand Chai ÃpicÃ© Eau De Parfum is the perfect balance of spicy, sexy and sweet.",Amber Gourmand,Top - violet figMiddle - muguet muskBase - blonde woods Item 2622665,,,
Viktor&RolfÂ,Mini Flowerbomb Perfume Set,$35.00Kit Price ($60 value)($60 value),,https://www.ulta.com/p/mini-flowerbomb-perfume-set-pimprod2045950?sku=2622514,"Discover this duo deluxe mini perfume set featuring Viktor&Rolf's Flowerbomb and Flowerbomb Tiger Lily. A lavish floral scent, Flowerbomb Eau de Parfum is an explosion of cattleyas, freesia, jasmine, and rose petals. Flowerbomb Tiger Lily Eau de Parfum is a long-lasting warm solar women's fragrance.",Florals,"Flowerbomb Eau de Parfum: Rose, Peony, Jasmine, PatchouliFlowerbomb Tiger Lily Eau de Parfum: Coconut Milk, Tiger Lily, Mango",,,
Yves Saint LaurentÂ,Libre L'Eau Nue Parfum,$113.00 - $155.00,,https://www.ulta.com/p/libre-leau-nue-parfum-pimprod2050865?sku=2636110,"Yves Saint Laurent Libre LâEau Nue Parfum de Peau is a citrus floral fragrance reminiscent of long Mediterranean summers. L'eau Nue is Libre's first alcohol-free* parfum de peau, a perfume with skin-enhancing properties. *without ethyl alcohol",FloralFresh Citrus & Fruits,"Top Notes: Green Mandarin, BergamotBase Notes: Lavender Item 2636110",,,
MUGLERÂ,Alien Eau de Parfum,$100.00 - $185.00,,https://www.ulta.com/p/alien-eau-de-parfum-xlsImpprod3920113?sku=2216794,"Bring out the inexplicable magic that lies in every woman with the radiance of Alien Eau de Parfum spray by MUGLER. The refillable bottle holding this elixir is reminiscent of a sacred stone. Jewel-like, its facets express the radiance of the mysterious fragrance.",Amber Woody Floral,Jasmine SambacCashmeran WoodWhite Amber Item 2216794,,,
Ariana GrandeÂ,LOVENOTES Pink Woods Eau de Parfum,$80.00,,https://www.ulta.com/p/lovenotes-pink-woods-eau-de-parfum-pimprod2047511?sku=2630058,"LOVENOTES by Ariana Grande is a personal endeavor to make scent the ultimate and universal love language. Airy. Dreamy. Entrancing. Introducing Pink Woods, the mesmerizingly delightful fragrance. A LOVENOTE from Ariana Grande to the world, exclusively available in North America.",Citrus Woods,"Top: Italian Bergamot, Lotus FlowerMid: Jasmine Petals, Tea Leaves, VetiverDrydown: Tonka Beans, Cashmere Woods, Cotton Candy Item 2630058",,,
SnifÂ,Hot Cakes Eau de Toilette,$65.00,,https://www.ulta.com/p/hot-cakes-eau-de-toilette-pimprod2051546?sku=2639040,"Hot Cakes Eau de Toilette is a fluffy, pancake-inspired gourmand fragrance that stacks up with melted butter, maple syrup, sugared musk, and berry compote.","Woody, Gourmand, Fruity","Maple Syrup, Melted Butter, Berry Compote, Buttermilk, Pancake Accord, Sugared Musk Item 2639040",,,
Marc JacobsÂ,Perfect Elixir Eau de Parfum,$99.00 - $170.00,,https://www.ulta.com/p/perfect-elixir-eau-de-parfum-pimprod2046873?sku=2628552,"Step into a world where anything is possible with Marc Jacobs Perfect Elixir. Juicy purple rhubarb accord is warmed by golden amber woods accord, while irresistible vanilla bean extract brings subtle sweetness. Orange blossom absolute accord uplifts the perfume at the heart with a burst of sunshine.",Ambery Floral,"Top - purple rhubarb accord, plum accord, liquid honey nectar accordMiddle - golden amber woods accord, orange bossom absolute accordBase - vanilla bean extract, myrrh resinoid, patchouli heart Item 2628552",,,
CoachÂ,Wild Rose Eau de Parfum,$80.00 - $126.00,,https://www.ulta.com/p/wild-rose-eau-de-parfum-pimprod2032448?sku=2595170,"Coach Wild Rose Eau de Parfum is inspired by the free-spirited beauty of a meadow of wild flowers. The bold, delicate scent combines juicy redcurrant with floral rose blooms and a warm, woody ambroxan.",Gourmand Woody,Top - RedcurrantMiddle - Wild Rose AccordBase - Ambroxan Item 2595170,,,
AzzaroÂ,Forever Wanted Elixir,$125.00 - $155.00,,https://www.ulta.com/p/forever-wanted-elixir-pimprod2050973?sku=2636552,"Azzaro introduces its new fragrance: Azzaro Forever Wanted Elixir. A unique olfactory signature, where the raw sensuality of leather intertwines with an addictive, fruity accord. An unforgettable scent trail to leave an indelible mark wherever you go.",Woody,"Top Notes: Raspberry, Green Mandarin Superessence, Bergamot EssenceHeart Notes: Clary Sage Heart, Lavandin Essence, Heart of CardamomBase Notes: Leather Accord, Vetiver Heart, Wolfwood Item 2636552",,,
Dolce&GabbanaÂ,Devotion Eau de Parfum Intense,$108.00 - $175.00,,https://www.ulta.com/p/devotion-eau-de-parfum-intense-pimprod2047099?sku=2629028,"Dolce&Gabbana Devotion Eau de Parfum Intense, the latest addition to the Dolce&Gabbana Devotion olfactory story, celebrates the brand's unwavering dedication to Italian design and craftmanship.",Bright Gourmand,TOP: The perfume opens with the distinctive and inviting notes of Hazelnut.HEART: The freshness of Orange Blossom bursts from the heart of the fragrance.BASE: The warm and sensual hint of Vanilla transports the senses to a sophisticated olfactory destination.,,,
GucciÂ,Bloom Eau de Parfum,$105.00 - $168.00,,https://www.ulta.com/p/bloom-eau-de-parfum-xlsImpprod16561034?sku=2515591,"Gucci Bloom Eau de Parfum for Women is a sophisticated perfume capturing the spirit of the authentic women of Gucci. Enticing notes of Tuberose and Jasmine leave an unexpectedly rich white floral scent on the skin. Rangoon Creeper Accord infuses this Gucci scent with a powdery, floral edge.",Floral,Top - rangoon creeperMiddle - tuberoseBase - jasmine bud Item 2515591,,,
LE MONDE GOURMANDÂ,Miel BÃ©bÃ© Eau De Parfum,sale price $18.75$18.75list price $25.00$25.00,,https://www.ulta.com/p/miel-bebe-eau-de-parfum-pimprod2044083?sku=2622667,Le Monde Gourmand Miel BÃ©bÃ© Eau De Parfum features a lush floral bouquet with some honeyed sweetness.,Fruity Floral,Top - juicy mandarin & honeyMiddle - sandalwoodBase - praline Item 2622667,,,
Jimmy ChooÂ,I Want Choo Forever Eau de Parfum,$84.00 - $150.00,,https://www.ulta.com/p/i-want-choo-forever-eau-de-parfum-pimprod2035072?sku=2600940,Jimmy Choo's I Want Choo Forever Eau de Parfum is a chypre amber gourmand fragrance that encapsulates a sense of confidence and elegance unlike any other.,Chypre Amber Gourmand,"Top - juicy rose, pink peppercorn, almond oilMiddle - black cherry liquor, jasmine, vetiverBase - moss accord, vanilla, tonka beans Item 2600940",,,
Viktor&RolfÂ,Flowerbomb Extreme Eau de Parfum,$150.00 - $187.00,,https://www.ulta.com/p/flowerbomb-extreme-eau-de-parfum-pimprod2050571?sku=2636428,"Flowerbomb Extreme Eau de Parfum is a floral explosion with juicy raspberry, intensified by the warmth of addictive vanilla, creating a long-lasting fragrance so powerful, it unleashes your fiercest femininity.",Floral Ambery,Top Notes: Tea Accord â Bergamot Heart Calabria â Raspberry AccordHeart Notes: Freesia Accord â Rose Absolute â Jasmine Sambac Absolute - Orange Flower AbsoluteBase Notes: Patchouli â Vanilla Bean Extract â Peru Balsam Item 2636428,,,
Ariana GrandeÂ,MOD Vanilla Mini 2-Piece Set,$30.00,,https://www.ulta.com/p/mod-vanilla-mini-2-piece-set-pimprod2048812?sku=2630755,Ready for your next obsession? Make them smile with this irresistible set featuring the Ariana Grande Mod Vanilla fragrance in the perfect sizes for travel!,Gourmand Musk,"Top - pink freesia, juicy plum, creamy musksMiddle - orris butter, white praline, jasmine petalsBase - vanilla absolute, cocoa butter Item 2630755",,,
LE MONDE GOURMANDÂ,Lait de Coco Eau de Parfum,sale price $18.75$18.75list price $25.00$25.00,,https://www.ulta.com/p/lait-de-coco-eau-de-parfum-pimprod2044079?sku=2622663,Le Monde Gourmand Lait de Coco Eau de Parfum is the ultimate coconut scent that you can wear year round.,Amber Gourmand,Top - bergamotMiddle - vanilla pralineBase - creamy coconut Item 2622663,,,
Dolce&GabbanaÂ,Devotion Eau de Parfum,$101.00 - $170.00,,https://www.ulta.com/p/devotion-eau-de-parfum-pimprod2041236?sku=2614018,"The Dolce&Gabbana Devotion Eau de Parfum fragrance is a sensory journey, seductive and reassuring, capable of evoking the positive values to which Dolce&Gabbana hold dear, symbolized by the Sacred Heart seal. An olfactory creation of exquisite contrasts, bright top notes, sensual base notes.",Bright Gourmand,"The fragrance opens with the tantalizing, gourmand notes of candied citrus.The luminous freshness of Orange Blossom at the heart.The warm, sensual touch of Alluring Vanilla transports the senses to a sweet and sophisticated destination. Item 2614018",,,
CoachÂ,Dreams Sunset Eau de Parfum,$78.00 - $120.00,,https://www.ulta.com/p/dreams-sunset-eau-de-parfum-pimprod2025892?sku=2583055,"Coach Dreams Sunset Eau de Parfum is inspired by free-spirited adventures, with the sunset on the horizon.",Floral Gourmand,PearJasmineTonka Bean Item 2583055,,,
Paris Hilton FragrancesÂ,ICONIC Eau de Parfum,$48.00 - $80.00,,https://www.ulta.com/p/iconic-eau-de-parfum-pimprod2051606?sku=2638394,"ICONIC celebrates the many layers of Paris's unique personality with a captivating blend of playful, succulent fruits and uplifting, radiant florals, all wrapped in the rich warmth of creamy sandalwood and amber.",Floral Fruity,"Top: Pear Blossom, Raspberry, Peach NectarMiddle: Peony, Lily of the Valley, MagnoliaDrydown: Sandalwood, Amber, Musk Item 2638394",,,
GucciÂ,Flora Gorgeous Jasmine Eau de Parfum,$111.00 - $181.00,,https://www.ulta.com/p/flora-gorgeous-jasmine-eau-de-parfum-pimprod2034290?sku=2599239,"Enter a new dimension of unbound freedom with Gucci Flora Gorgeous Jasmine Eau de Parfum for women. Bursting with sensual Grandiflorum Jasmine, this is the second Gucci fragrance to join the cheery world of #FloraFantasy.",Floral,"Top - mandarine essenceMiddle - grandiflorum jasmine , magnolia accordBase - sandalwood Item 2599239",,,
CHANELÂ,CHANCE EAU FRAÃCHE Eau de Toilette Spray,$116.00 - $150.00,,https://www.ulta.com/p/chance-eau-fraiche-eau-de-toilette-spray-pimprod2015933?sku=2305592,"CHANEL CHANCE EAU FRAÃCHE Eau de Toilette is a fresh, sparkling expression of the unexpected, unpredictable floral fragrance. A surge of energy that sweeps you into a whirlwind of happiness and fantasy.",Fresh,CitronTeak Wood Item 2305592,,,
ARMANIÂ,Acqua di Gioia Eau de Parfum Intense,$116.00 - $140.00,,https://www.ulta.com/p/acqua-di-gioia-eau-de-parfum-intense-pimprod2044763?sku=2623612,"Discover Armani Acqua di Gioia Eau de Parfum Intense, a sparkling intensity blending vibrant citrus notes and luscious red fruits, capturing the everlasting mood of an Italian summer.",Fresh Floral,"Top - BERGAMOT & RED FRUITS ACCORD The sparkling citrus fruity opening of the fragrance. An Italian citrus trio capturing the luminous bergamot heart, hand-picked in Calabria, blend with a fresh breeze of juicy red fruit accord with acidulous raspberry note.Middle - JASMINE & ROSE DAMASCENA A sweet floral bouquet at its heart, structured around the blooming florality of a delicate duo of botanical rose Damascene petal and watery jasmine grandiflorum super infusion, sustainably sourced in India and crafted for the brand Giorgio Armani.Base - CEDARWOOD & MUSKS At its base, the soft woody and musky base is subtly enlightened by a warm cedarwood and sensual musks, for a long-lasting second-skin effect. Item 2623612",,,
ValentinoÂ,Donna Born In Roma Yellow Dream Eau de Parfum,$180.00,,https://www.ulta.com/p/donna-born-in-roma-yellow-dream-eau-de-parfum-pimprod2022352?sku=2578182,"Valentino Born In Roma Yellow Dream Eau de Parfum is a long-lasting floral, musky perfume twisted with floral notes of Turkish Rose and Peony Accord balanced by sensual white musk that creates this luminous, fresh fragrance.",Musky Floral,"Top - Italian primofiore lemon essence, bergamot essence, litchi accordMiddle - rose essence, clean accord, peony accordBase - cedarwood essence, vanilla essence, white musks accord Item 2578182",,,
LancÃ´meÂ,La Vie Est Belle Iris Absolu Eau De Parfum,sale price $102.00 - $137.00$102.00 - $137.00list price $137.00 - $170.00$137.00 - $170.00,,https://www.ulta.com/p/la-vie-est-belle-iris-absolu-eau-de-parfum-pimprod2039716?sku=2613200,LancÃ´me La vie est Belle Iris Absolu Eau De Parfum is a captivating women's perfume with an intense concentration of iris complemented with gourmand notes of fig and blackcurrant.,,Top Notes: Juicy Fig and BlackcurrantMiddle Notes: Damascena Rose and Jasmine SambacBase: Sustainably Sourced Iris and Patchouli Item 2613200,,,
BurberryÂ,Brit For Her Eau de Parfum,$120.00,,https://www.ulta.com/p/brit-her-eau-de-parfum-VP10147?sku=2106009,"Burberry Brit For Her Eau de Parfum is a candied floral fragrance that is sensual and addictive. Crisp, icy pear, sugared almond and intense vanilla.",Floral,"Top - pear, lime, lemongrassMiddle - almond, peonyBase - vanilla, amber, tonka bean Item 2106009",,,
Ariana GrandeÂ,Cloud 2.0 Intense Eau de Parfum,$72.00,,https://www.ulta.com/p/cloud-20-intense-eau-de-parfum-pimprod2028401?sku=2586665,Enhanced. Addictive. Dreamy. Ariana Grande Cloud 2.0 Intense Eau de Parfum will leave you in awe and dreaming of what is yet to come.,Gourmand,"Top - lavender blossom, juicy pear, bergamotMiddle - creme de coconut, indulgent praline, vanilla orchidBase - sensual musks, creamy blonde woods, dry cashmeran, ambrox Item 2586665",,,
PhilosophyÂ,Amazing Grace Eau de Parfum,$77.00,,https://www.ulta.com/p/amazing-grace-eau-de-parfum-xlsImpprod1500100?sku=2154024,"Amazing Grace, the iconic soft floral by Philosophy is now available as an EDP that features a longer lasting concentration of bergamot, soft muguet blossoms and musk.",Floral,"Top - bergamot, lemon, neroliMiddle - muguet, orange blossomBase - musk blend Item 2154024",,,
